"idRedevance","type","espece","montant","detailRedev","montant2","echelonMontant","montantN"
1,"cens","tournois","2 sol. bon. tur. parv.",NULL,NULL,NULL,"2 sol."
2,"cens","tournois","3 sol. bon. tur. parv.",NULL,NULL,NULL,"3 sol."
3,"cens","tournois","17 den. et 1 pict. bon. tur. parv.",NULL,NULL,NULL,"17 den. 1 pict."
4,"cens","tournois","6 sol. 3 den. et ob. et 1 pict. bon. tur. parv.",NULL,NULL,NULL,"6 sol. 3 den. 1 ob. 1 pict."
5,"cens","tournois","4 sol. 11 den. bon. tur. parv.",NULL,NULL,NULL,"4 sol. 11 den."
6,"cens","tournois","18 den. bon. tur. parv.","affranchi de la vigne episcopale","10 sol. bon. tur.",NULL,"10 sol."
7,"cens","tournois","2 sol. 1 ob. bon. tur. parv.",NULL,NULL,NULL,"2 sol. 1 ob."
8,"cens","tournois","3 sol. bon. tur. parv.",NULL,NULL,NULL,"3 sol."
9,"cens","tournois","18 den. bon. tur. parv.",NULL,NULL,NULL,"18 den."
10,"cens","tournois","18 den. bon. tur. parv.",NULL,NULL,NULL,"18 den."
11,"cens","tournois","6 den. bon. tur. parv.",NULL,NULL,NULL,"6 den."
12,"cens","tournois","20 den. bon. tur. parv.","affranchi de la vigne episcopale","20 sol. bon. tur. parv.",NULL,"20 sol."
13,"cens","tournois","2 sol. bon. tur. parv.",NULL,NULL,NULL,"2 sol."
14,"cens","tournois","9 den. bon. tur. parv.",NULL,NULL,NULL,"9 den."
15,"cens","tournois","10 den. bon. tur. parv.",NULL,NULL,NULL,"10 den."
16,"cens","tournois","18 den. bon. tur. parv.",NULL,NULL,NULL,"18 den."
17,"cens","tournois","19 den. bon. tur. parv.",NULL,NULL,NULL,"19 den."
18,"cens","tournois","3 sol. 8 den. bon. tur. parv.",NULL,NULL,NULL,"3 sol. 8 den."
19,"cens","tournois","12 den. bon. tur. parv.","affranchi de la vigne episcopale","11 sol. bon. tur. parv.",NULL,"11 sol."
